source_id,title,filename,parent_id,source_manual
1,Allergy & Travel ,BOOK,,
2,Administration,Index,,
3,Organization and Unit Controls,Organization.doc,2,
4,Description of Services and Hours of Operation,Hours.doc,2,
5,Medical Emergency Procedure,ER Procedure.doc,2,
6,Refrigerator Monitors,SOP for Monitoring Temperature Revised 9-15-11.docx,2,CORE 
7,Immunotherapy,Index,,
8,Allergen-Specific Immunotherapy by Moote and Kim,PDF,7,
9,Consent to Receive Allergy Immunotherapy,Consent Form.doc,7,Used in Multiple Manuals
10,Establishing a New Immunotherapy Record ,Immunotherapy Record.doc,7,
11,Patient Orientation to Antigen Therapy,Orient to Antigen Th.doc,7,
12,Allergy Treatment Record,Allergy Treatment Record3.doc,7,
13,Antigen Injection Procedure,Antigen Inj Procedure.doc,7,
14,Screening Patients Receiving Immunotherapy from Outside Physician,Screen Patients.doc,7,
15,Discarding Outdated Antigen,Discarding Outdated Antigen.doc,7,
16,Information for Allergy Patients,PDF from web,7,
17,Guideline to receiving/releasing antigens when Allergy nurses are not in clinic,Receive-Release Antigens AT.doc,7,
18,"""Allergen Immunotherapy: A practice parameter third update by Cox, Nelson, and Lockey""",PDF,7,
19,Optimizing the Safety of Immunotherapy Administration Outside of Prescribing Allergist's Office ,PDF,7,
20,Respiration ,Index,,
21,Peak Flow Meter Instruction Appointment Procedures,PF Meter Instr.doc,20,
22,Peak Flow Meter Guidelines,Peak Flow Guidelines.doc,20,
23,Peak Flow Monitoring,PDF,20,
24,Peak Flow Meter Instructions for the Patient,PDF,20,
25,Peak Flow Meter Trend Chart,PDF,20,
26,Normal Values of Peak Expiratory Flow,PDF,20,
27,How to Use Inhaled Asthma Medicines,PDF,20,
28,Asthma Medications,PDF,20,
29,Managing Asthma for Age 12 and Over,PDF,20,
30,Classifying Asthma and Initiating Treatment,PDF,20,
31,Usual Asthma Medication Dosages,PDF,20,
32,Anaphylaxis Emergency Treatment Kit Instructions,Anaphy Emerg Kit.doc,20,
33,Epinephrine Auto-Injector ,PDF,20,
34,Anaphylaxis Emergency Treatment Kit,AnaKit.doc,20,
35,Tuberculosis Testing,Index,,
36,Orientation of RN's to PPD Skin testing,PPD RN Orientation.doc,35,
37,Medical Screening Program: Tuberculosis Screening,Medical Screening Program Procedures.doc,35,CORE
38,Two-Step Tuberculin Skin Testing Procedures,Two-Step Tuberculin Skin Testing.doc,35,
39,Drop in Reading hours,PDF,35,
40,TB Fact Sheet,Positive PPD Fact Sheet2.doc,35,
41,"""If your TB skin test is positive"" flyer",If your TB Skin test is positive.doc,35,
42,Pulmonary TB Clearance Protocol,Pulmonary TB Clearance Protocol 2012.vsd,35,
